file_name,drive_id,size_bytes,size_mib,raw_frames,duration,duration_seconds,channel_count,sha256,status,drive_url
20220724_30(OEM)℃.csv,1jrKMC6IBmABKt9JXjZB0YRRSDysbY2k1,206681432,197.11,523640,0:39:53.801s,2393.801,105,62ff381859ddcaf76e18151bdd68de581e2eece4411ba05e95d13479123dd449,CORE_FROZEN,https://drive.google.com/file/d/1jrKMC6IBmABKt9JXjZB0YRRSDysbY2k1/view
20251101_11℃.csv,1BL7lNJ0xr3Fk3iYQnRjdWqQvJVypvGOl,123982163,118.24,316013,0:24:04.054s,1444.054,105,e2729f003805d559e8779ceb132fd55e776fc767c1dd521d8edaabd3c8795ee0,CORE_FROZEN,https://drive.google.com/file/d/1BL7lNJ0xr3Fk3iYQnRjdWqQvJVypvGOl/view
20260518_22℃.csv,1aV7FU4mrNmskCvzDiDx3z94aOHmCzD4g,212721200,202.87,530744,1:13:31.790s,4411.79,105,55d953459fe30b5391f4b16d16e0c053793d3d9cd5e30766035838a7bf0fff0f,CORE_FROZEN,https://drive.google.com/file/d/1aV7FU4mrNmskCvzDiDx3z94aOHmCzD4g/view
20260523_26℃.csv,1xqguG-B9PhmxNQyakcwSMVpNDnBXersk,76913119,73.35,194691,0:25:21.906s,1521.906,105,38c6d393cfcf29a332a5cab686e96aa968166377ccc5c900c79ab01dbd766c31,CORE_FROZEN,https://drive.google.com/file/d/1xqguG-B9PhmxNQyakcwSMVpNDnBXersk/view
20260524_22℃.csv,12goPCA3cWQBaLZEULlvvsIYQyL48AD4Y,222471779,212.17,559566,1:11:59.216s,4319.216,105,abc3d8588d99a8cc10fd8a4b2314fbb7041532d5b2c045397072b954a8d55cc8,CORE_FROZEN,https://drive.google.com/file/d/12goPCA3cWQBaLZEULlvvsIYQyL48AD4Y/view
20260527_24℃.csv,1NHOa755dE6lnsani86GTeOZZswr8UIta,205864195,196.33,518488,1:46:31.489s,6391.489,105,c682240519812b733145df84f4849644369163c5d148b5734f30633499ecd0c7,CORE_FROZEN,https://drive.google.com/file/d/1NHOa755dE6lnsani86GTeOZZswr8UIta/view
20260530_28℃_001.csv,1-bvfWPwjZ31NgI0h2w3o6u6itb9wVdP8,172711490,164.71,436751,0:59:47.523s,3587.523,105,d65d4a38ca8e0f2c028229b829e86d54992f982edae9e8fc412c14094ba69119,CORE_FROZEN,https://drive.google.com/file/d/1-bvfWPwjZ31NgI0h2w3o6u6itb9wVdP8/view
20260601_24℃_001.csv,1lc6D5ftzw3Qsr-J69VICoh70Z1byGkYl,226742484,216.24,569822,1:14:45.034s,4485.034,105,b6d3aed4225e336b90a8d99502471b0e4462419dd9449e4937856f9ff5c71a67,CORE_FROZEN,https://drive.google.com/file/d/1lc6D5ftzw3Qsr-J69VICoh70Z1byGkYl/view
20260602_27℃.csv,1ce5myvolDqRulzHrz1ay8Ytx7i2i3wRT,231472216,220.75,588906,1:17:07.728s,4627.728,105,42cb82ee847ab89e8447eaab29c18131526536ea783ba7568f9b8058ee05a825,CORE_FROZEN,https://drive.google.com/file/d/1ce5myvolDqRulzHrz1ay8Ytx7i2i3wRT/view
20260603_25℃.csv,1LK6CTjBdFvVJFClOi2HIrHhiXg_UChxz,192347796,183.44,485160,1:27:13.872s,5233.872,105,a8318912ac82101c8f2473a201a83dc23816adecc3d0d4211cfd895975975c27,CORE_FROZEN,https://drive.google.com/file/d/1LK6CTjBdFvVJFClOi2HIrHhiXg_UChxz/view
20260603_25℃_002.csv,1_dLVJmi5lE0Sl4UJAxwwTrHXNwsQYXSI,165700106,158.02,421170,0:54:58.098s,3298.098,105,f1ed9e46387a056d915acf6632e1d63d308a9c39177d45c8fa4b632798744557,CORE_FROZEN,https://drive.google.com/file/d/1_dLVJmi5lE0Sl4UJAxwwTrHXNwsQYXSI/view
20260605_29℃_001.csv,1248wjpjtadOR2lvxN5XVajktPNlSgW_H,139548788,133.08,356931,0:35:49.951s,2149.951,105,5ce48cc7286df6b9d752ec3a5bededc58d97a1459d8e8a214c56469c64f520ef,CORE_FROZEN,https://drive.google.com/file/d/1248wjpjtadOR2lvxN5XVajktPNlSgW_H/view
20260609_21℃.csv,11Q0IKYyMJEeyBI67XNWP6XCrQX3oPy_P,212682153,202.83,538829,1:10:39.688s,4239.688,105,8aed1aea4fe504ab29bb4073d4a7088a5e6e2b60d3efc2bbe9f43a23fc55bef5,CORE_FROZEN,https://drive.google.com/file/d/11Q0IKYyMJEeyBI67XNWP6XCrQX3oPy_P/view
20260611_23℃.csv,1cATcHh1O_4p-R7hZz5zMZqR3jqNtnSMU,165243586,157.59,418069,0:53:55.285s,3235.285,105,1a9ec87933e9715da22641acf1b5cae14ffdc7d71dc6e4122dfab652bea5c9dd,CORE_FROZEN,https://drive.google.com/file/d/1cATcHh1O_4p-R7hZz5zMZqR3jqNtnSMU/view
